PART_SK,P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,START_DATE,END_DATE,IS_CURRENT,RECORD_SOURCE
11,11,spring maroon seashell almond orchid,Manufacturer#2,Brand#25,STANDARD BURNISHED NICKEL,43,WRAP BOX,911.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
12,12,cornflower wheat orange maroon ghost,Manufacturer#3,Brand#33,MEDIUM ANODIZED STEEL,25,JUMBO CASE,912.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
13,13,ghost olive orange rosy thistle,Manufacturer#5,Brand#55,MEDIUM BURNISHED NICKEL,1,JUMBO PACK,913.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
14,14,khaki seashell rose cornsilk navajo,Manufacturer#1,Brand#13,SMALL POLISHED STEEL,28,JUMBO BOX,914.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
15,15,blanched honeydew sky turquoise medium,Manufacturer#1,Brand#15,LARGE ANODIZED BRASS,45,LG CASE,915.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
16,16,deep sky turquoise drab peach,Manufacturer#3,Brand#32,PROMO PLATED TIN,2,MED PACK,916.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
17,17,indian navy coral pink deep,Manufacturer#4,Brand#43,ECONOMY BRUSHED STEEL,16,LG BOX,917.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
18,18,turquoise indian lemon lavender misty,Manufacturer#1,Brand#11,SMALL BURNISHED STEEL,42,JUMBO PACK,918.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
19,19,chocolate navy tan deep brown,Manufacturer#2,Brand#23,SMALL ANODIZED NICKEL,33,WRAP BOX,919.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
20,20,ivory navy honeydew sandy midnight,Manufacturer#1,Brand#12,LARGE POLISHED NICKEL,48,MED BAG,920.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
21,21,lemon floral azure frosted lime,Manufacturer#3,Brand#33,SMALL BURNISHED TIN,31,MED BAG,921.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
22,22,medium forest blue ghost black,Manufacturer#4,Brand#43,PROMO POLISHED BRASS,19,LG DRUM,922.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
23,23,coral lavender seashell rosy burlywood,Manufacturer#3,Brand#35,MEDIUM BURNISHED TIN,42,JUMBO JAR,923.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
24,24,seashell coral metallic midnight floral,Manufacturer#5,Brand#52,MEDIUM PLATED STEEL,20,MED CASE,924.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
25,25,aquamarine steel firebrick light turquoise,Manufacturer#5,Brand#55,STANDARD BRUSHED COPPER,3,JUMBO BAG,925.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
26,26,beige frosted moccasin chocolate snow,Manufacturer#3,Brand#32,SMALL BRUSHED STEEL,32,SM CASE,926.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
27,27,saddle puff beige linen yellow,Manufacturer#1,Brand#14,LARGE ANODIZED TIN,20,MED PKG,927.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
28,28,navajo yellow drab white misty,Manufacturer#4,Brand#44,SMALL PLATED COPPER,19,JUMBO PKG,928.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
29,29,lemon sky grey salmon orchid,Manufacturer#3,Brand#33,PROMO PLATED COPPER,7,LG DRUM,929.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
30,30,cream misty steel spring medium,Manufacturer#4,Brand#42,PROMO ANODIZED TIN,17,LG BOX,930.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
31,31,slate seashell steel medium moccasin,Manufacturer#5,Brand#53,STANDARD BRUSHED TIN,10,LG BAG,931.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
32,32,sandy wheat coral spring burnished,Manufacturer#4,Brand#42,ECONOMY PLATED BRASS,31,LG CASE,932.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
33,33,spring bisque salmon slate pink,Manufacturer#2,Brand#22,ECONOMY PLATED NICKEL,16,LG PKG,933.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
34,34,khaki steel rose ghost salmon,Manufacturer#1,Brand#13,LARGE BRUSHED STEEL,8,JUMBO BOX,934.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
35,35,green blush tomato burlywood seashell,Manufacturer#4,Brand#43,MEDIUM ANODIZED BRASS,14,JUMBO PACK,935.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
36,36,chiffon tan forest moccasin dark,Manufacturer#2,Brand#25,SMALL BURNISHED COPPER,3,JUMBO CAN,936.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
37,37,royal coral orange burnished navajo,Manufacturer#4,Brand#45,LARGE POLISHED TIN,48,JUMBO BOX,937.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
38,38,seashell papaya white mint brown,Manufacturer#4,Brand#43,ECONOMY ANODIZED BRASS,11,SM JAR,938.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
39,39,rose medium floral salmon powder,Manufacturer#5,Brand#53,SMALL POLISHED TIN,43,JUMBO JAR,939.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
40,40,lemon midnight metallic sienna steel,Manufacturer#2,Brand#25,ECONOMY BURNISHED COPPER,27,SM CASE,940.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
41,41,burlywood goldenrod pink peru sienna,Manufacturer#2,Brand#23,ECONOMY ANODIZED TIN,7,WRAP JAR,941.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
42,42,midnight turquoise lawn beige thistle,Manufacturer#5,Brand#52,MEDIUM BURNISHED TIN,45,LG BOX,942.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
43,43,medium lace midnight royal chartreuse,Manufacturer#4,Brand#44,PROMO POLISHED STEEL,5,WRAP CASE,943.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
44,44,saddle cream wheat lemon burnished,Manufacturer#4,Brand#45,MEDIUM PLATED TIN,48,SM PACK,944.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
45,45,lawn peru ghost khaki maroon,Manufacturer#4,Brand#43,SMALL BRUSHED NICKEL,9,WRAP BAG,945.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
46,46,honeydew turquoise aquamarine spring tan,Manufacturer#1,Brand#11,STANDARD POLISHED TIN,45,WRAP CASE,946.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
47,47,honeydew red azure magenta brown,Manufacturer#4,Brand#45,LARGE BURNISHED BRASS,14,JUMBO PACK,947.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
48,48,slate thistle cornsilk pale forest,Manufacturer#5,Brand#53,STANDARD BRUSHED STEEL,27,JUMBO CASE,948.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
49,49,light firebrick cyan puff blue,Manufacturer#2,Brand#24,SMALL BURNISHED TIN,31,MED DRUM,949.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
50,50,linen blanched tomato slate medium,Manufacturer#3,Brand#33,LARGE ANODIZED TIN,25,WRAP PKG,950.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
51,51,lime frosted indian dodger linen,Manufacturer#4,Brand#45,ECONOMY BURNISHED NICKEL,34,JUMBO PACK,951.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
52,52,lemon midnight lace sky deep,Manufacturer#3,Brand#35,STANDARD BURNISHED TIN,25,WRAP CASE,952.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
53,53,bisque rose cornsilk seashell purple,Manufacturer#2,Brand#23,ECONOMY BURNISHED NICKEL,32,MED BAG,953.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
54,54,blanched mint yellow papaya cyan,Manufacturer#2,Brand#21,LARGE BURNISHED COPPER,19,WRAP CASE,954.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
55,55,sky cream deep tomato rosy,Manufacturer#2,Brand#23,ECONOMY BRUSHED COPPER,9,MED BAG,955.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
56,56,antique beige brown deep dodger,Manufacturer#1,Brand#12,MEDIUM PLATED STEEL,20,WRAP DRUM,956.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
57,57,purple blue light sienna deep,Manufacturer#3,Brand#32,MEDIUM BURNISHED BRASS,49,MED PKG,957.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
58,58,linen hot cornsilk drab bisque,Manufacturer#5,Brand#53,STANDARD POLISHED TIN,44,LG PACK,958.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
59,59,misty brown medium mint salmon,Manufacturer#5,Brand#53,MEDIUM POLISHED TIN,2,LG BAG,959.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
60,60,snow spring sandy olive tomato,Manufacturer#1,Brand#11,LARGE POLISHED COPPER,27,JUMBO CASE,960.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
61,61,light tan linen tomato peach,Manufacturer#5,Brand#54,SMALL BURNISHED NICKEL,18,WRAP DRUM,961.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
62,62,tan cornsilk spring grey chocolate,Manufacturer#3,Brand#35,STANDARD BRUSHED BRASS,39,JUMBO BOX,962.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
63,63,burnished puff coral light papaya,Manufacturer#3,Brand#32,STANDARD BURNISHED NICKEL,10,JUMBO CAN,963.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
64,64,aquamarine coral lemon ivory gainsboro,Manufacturer#2,Brand#21,MEDIUM ANODIZED BRASS,1,JUMBO CAN,964.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
65,65,slate drab medium puff gainsboro,Manufacturer#5,Brand#53,MEDIUM BRUSHED COPPER,3,MED CAN,965.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
66,66,cornflower pale almond lemon linen,Manufacturer#3,Brand#35,PROMO ANODIZED NICKEL,46,SM CASE,966.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
67,67,slate salmon rose spring seashell,Manufacturer#2,Brand#21,SMALL BRUSHED TIN,31,WRAP DRUM,967.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
68,68,bisque ivory mint purple almond,Manufacturer#1,Brand#11,PROMO ANODIZED STEEL,10,WRAP BOX,968.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
69,69,lace burnished rosy antique metallic,Manufacturer#5,Brand#52,MEDIUM POLISHED BRASS,2,SM BOX,969.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
70,70,violet seashell firebrick dark navajo,Manufacturer#1,Brand#11,STANDARD BRUSHED STEEL,42,LG PACK,970.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
71,71,violet firebrick cream peru white,Manufacturer#3,Brand#33,STANDARD PLATED BRASS,26,WRAP DRUM,971.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
72,72,hot spring yellow azure dodger,Manufacturer#2,Brand#23,STANDARD ANODIZED TIN,25,JUMBO PACK,972.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
73,73,cream moccasin royal dim chiffon,Manufacturer#2,Brand#21,SMALL BRUSHED COPPER,35,WRAP DRUM,973.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
74,74,frosted grey aquamarine thistle papaya,Manufacturer#5,Brand#55,ECONOMY ANODIZED BRASS,25,JUMBO CASE,974.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
75,75,aquamarine maroon wheat salmon metallic,Manufacturer#3,Brand#35,SMALL BURNISHED NICKEL,39,SM JAR,975.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
76,76,rosy light lime puff sandy,Manufacturer#3,Brand#34,MEDIUM BRUSHED COPPER,9,SM PKG,976.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
77,77,mint bisque chiffon snow firebrick,Manufacturer#5,Brand#52,STANDARD BRUSHED COPPER,13,MED PKG,977.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
78,78,blush forest slate seashell puff,Manufacturer#1,Brand#14,ECONOMY POLISHED STEEL,24,LG JAR,978.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
79,79,gainsboro pink grey tan almond,Manufacturer#4,Brand#45,PROMO ANODIZED BRASS,22,JUMBO BAG,979.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
80,80,tomato chartreuse coral turquoise linen,Manufacturer#4,Brand#44,PROMO PLATED BRASS,28,MED CAN,980.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
81,81,misty sandy cornsilk dodger blush,Manufacturer#5,Brand#53,ECONOMY BRUSHED TIN,21,MED BAG,981.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
82,82,khaki tomato purple almond tan,Manufacturer#1,Brand#15,ECONOMY POLISHED TIN,12,WRAP BOX,982.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
83,83,blush green dim lawn peru,Manufacturer#1,Brand#12,PROMO BURNISHED NICKEL,47,SM CAN,983.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
84,84,salmon floral cream rose dark,Manufacturer#4,Brand#45,SMALL ANODIZED NICKEL,26,JUMBO PACK,984.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
85,85,dim deep aquamarine smoke pale,Manufacturer#5,Brand#55,PROMO ANODIZED NICKEL,16,LG BAG,985.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
86,86,green blanched firebrick dim cream,Manufacturer#4,Brand#44,STANDARD PLATED TIN,37,LG CASE,986.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
87,87,purple lace seashell antique orange,Manufacturer#4,Brand#41,LARGE PLATED STEEL,41,WRAP PACK,987.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
88,88,lime orange bisque chartreuse lemon,Manufacturer#4,Brand#44,PROMO PLATED COPPER,16,SM CASE,988.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
89,89,ghost lace lemon sienna saddle,Manufacturer#5,Brand#53,STANDARD BURNISHED STEEL,7,MED JAR,989.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
90,90,hot rosy violet plum pale,Manufacturer#5,Brand#51,ECONOMY POLISHED STEEL,49,JUMBO CAN,990.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
91,91,misty bisque lavender spring turquoise,Manufacturer#2,Brand#21,STANDARD BRUSHED TIN,32,JUMBO PKG,991.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
92,92,blush magenta ghost tomato rose,Manufacturer#2,Brand#22,STANDARD ANODIZED TIN,35,JUMBO PKG,992.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
93,93,pale yellow cornsilk dodger moccasin,Manufacturer#2,Brand#24,LARGE ANODIZED TIN,2,WRAP DRUM,993.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
94,94,blanched pink frosted mint snow,Manufacturer#3,Brand#35,STANDARD POLISHED BRASS,32,SM BOX,994.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
95,95,dodger beige wheat orchid navy,Manufacturer#3,Brand#33,LARGE BRUSHED TIN,36,WRAP DRUM,995.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
96,96,chocolate light firebrick rose indian,Manufacturer#5,Brand#53,STANDARD BRUSHED STEEL,32,SM CASE,996.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
97,97,coral dodger beige black chartreuse,Manufacturer#3,Brand#33,MEDIUM POLISHED BRASS,49,WRAP CAN,997.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
98,98,frosted peru chiffon yellow aquamarine,Manufacturer#5,Brand#54,STANDARD ANODIZED BRASS,22,MED JAR,998.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
99,99,mint grey purple sienna metallic,Manufacturer#2,Brand#21,SMALL BURNISHED STEEL,11,JUMBO PKG,999.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
100,100,cyan orchid indian cornflower saddle,Manufacturer#3,Brand#33,ECONOMY ANODIZED TIN,4,LG BAG,1000.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
101,101,powder deep lavender violet gainsboro,Manufacturer#3,Brand#32,LARGE ANODIZED STEEL,26,JUMBO JAR,1001.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
102,102,papaya maroon blush powder sky,Manufacturer#3,Brand#31,MEDIUM BURNISHED BRASS,17,SM DRUM,1002.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
103,103,navy sky spring orchid forest,Manufacturer#2,Brand#25,MEDIUM PLATED BRASS,45,WRAP DRUM,1003.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
104,104,plum cyan cornflower midnight royal,Manufacturer#1,Brand#13,MEDIUM ANODIZED STEEL,36,JUMBO BAG,1004.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
105,105,dodger slate pale mint navajo,Manufacturer#1,Brand#15,SMALL POLISHED COPPER,27,LG DRUM,1005.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
106,106,cornsilk bisque seashell lemon frosted,Manufacturer#3,Brand#31,MEDIUM PLATED BRASS,28,WRAP DRUM,1006.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
107,107,violet honeydew bisque sienna orchid,Manufacturer#5,Brand#53,SMALL BURNISHED TIN,12,MED BOX,1007.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
108,108,bisque peach magenta tomato yellow,Manufacturer#1,Brand#12,PROMO PLATED NICKEL,41,MED PKG,1008.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
109,109,lemon black indian cornflower pale,Manufacturer#3,Brand#33,ECONOMY POLISHED TIN,11,LG PACK,1009.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
110,110,firebrick navy rose beige black,Manufacturer#3,Brand#33,STANDARD BURNISHED COPPER,46,LG DRUM,1010.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
111,111,orange cornflower mint snow peach,Manufacturer#5,Brand#54,LARGE BRUSHED COPPER,28,JUMBO JAR,1011.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
112,112,hot aquamarine tomato lace indian,Manufacturer#4,Brand#43,PROMO BRUSHED STEEL,42,JUMBO CAN,1012.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
113,113,almond seashell azure blanched light,Manufacturer#3,Brand#31,PROMO POLISHED TIN,23,LG CAN,1013.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
114,114,pink black blanched lace chartreuse,Manufacturer#5,Brand#51,MEDIUM POLISHED NICKEL,41,MED PACK,1014.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
115,115,spring chiffon cream orchid dodger,Manufacturer#4,Brand#45,STANDARD POLISHED STEEL,24,MED CAN,1015.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
116,116,goldenrod black slate forest red,Manufacturer#5,Brand#53,PROMO POLISHED NICKEL,33,SM PACK,1016.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
117,117,tomato honeydew pale red yellow,Manufacturer#1,Brand#14,SMALL BRUSHED TIN,25,LG BAG,1017.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
118,118,ghost plum brown coral cornsilk,Manufacturer#2,Brand#25,PROMO ANODIZED TIN,31,MED PACK,1018.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
119,119,olive metallic slate peach green,Manufacturer#4,Brand#43,LARGE POLISHED STEEL,30,WRAP CASE,1019.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
120,120,pink powder mint moccasin navajo,Manufacturer#1,Brand#14,SMALL ANODIZED NICKEL,45,WRAP JAR,1020.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
121,121,bisque royal goldenrod medium thistle,Manufacturer#1,Brand#14,ECONOMY BRUSHED COPPER,13,SM PKG,1021.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
122,122,gainsboro royal forest dark lace,Manufacturer#2,Brand#21,MEDIUM ANODIZED TIN,8,LG DRUM,1022.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
123,123,deep dim peach light beige,Manufacturer#1,Brand#12,SMALL BURNISHED TIN,31,JUMBO PKG,1023.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
124,124,wheat blush forest metallic navajo,Manufacturer#3,Brand#32,PROMO ANODIZED STEEL,1,LG BOX,1024.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
125,125,mint ivory saddle peach midnight,Manufacturer#1,Brand#12,STANDARD BRUSHED BRASS,17,WRAP BAG,1025.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
126,126,burnished black blue metallic orchid,Manufacturer#4,Brand#45,MEDIUM BRUSHED NICKEL,4,LG BAG,1026.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
127,127,royal coral orchid spring sky,Manufacturer#5,Brand#52,SMALL BURNISHED NICKEL,14,LG JAR,1027.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
128,128,dark burlywood burnished snow sky,Manufacturer#2,Brand#22,PROMO PLATED TIN,5,SM BAG,1028.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
129,129,grey spring chiffon thistle lime,Manufacturer#1,Brand#15,LARGE POLISHED TIN,20,SM JAR,1029.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
130,130,gainsboro powder cyan pale rosy,Manufacturer#2,Brand#23,SMALL PLATED NICKEL,26,LG BOX,1030.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
131,131,tomato moccasin cyan brown goldenrod,Manufacturer#5,Brand#52,STANDARD ANODIZED BRASS,43,MED DRUM,1031.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
